ruta;tramo;seccion;nodo;seccion_vial;denominacion;clase;rpruta;partido;zona;longitud_metros
6;140;02C;0;006-140-02C;LP Cañuelas/G.Las Heras - LP Las Heras/Marcos Paz;PAVIMENTADO;RP_6;41;6;7822.16
6;140;02D;0;006-140-02D;LP Cañuelas/G.Las Heras - LP Las Heras/Marcos Paz;PAVIMENTADO;RP_6;41;6;7834.7
20;60;02A;0;020-060-02A;Limite partido - Roque Perez;DE TIERRA;RP_20;91;6;33864.54
24;120;02A;0;024-120-02A;Limite partido - Est. La Choza;DE TIERRA;RP_24;41;6;8641.94
30;80;02A;0;030-080-02A;Limite partido -  ENT NODO RN 3;PAVIMENTADO;RP_30;58;6;18219.84
30;80;02B;56;030-080-02B;ENT NODO RN 3 - RN 3;PAVIMENTADO;RP_30;58;6;292.04
30;90;00A;56;030-090-00A;RN 3 - SAL NODO RN 3;PAVIMENTADO;RP_30;58;6;163.74
30;90;01A;0;030-090-01A;SAL NODO RN 3 - RP 61;PAVIMENTADO;RP_30;58;6;5807
30;100;01A;0;030-100-01A;RP 61 - Limite partido;CONSOLIDADO;RP_30;58;6;40812.42
30;100;02A;0;030-100-02A;Limite partido - Roque Perez RP 20;CONSOLIDADO;RP_30;91;6;46078.73
30;100;03A;0;030-100-03A;RP 20 - RN 205;PAVIMENTADO;RP_30;91;6;4223.51
30;120;01A;0;030-120-01A;RN 205 - Limite partido;PAVIMENTADO;RP_30;91;6;16085.13
30;120;02A;0;030-120-02A;Limite partido - RP 40;PAVIMENTADO;RP_30;109;6;14895.52
30;130;01A;0;030-130-01A;RP 40 - Limite partido;PAVIMENTADO;RP_30;109;6;5623.02
30;130;02A;0;030-130-02A;Limite partido - Limite partido;PAVIMENTADO;RP_30;75;6;12618.48
40;30;00A;0;040-030-00A;RP 6 - SAL. ACCESO;PAVIMENTADO;RP_40;41;6;663.03
40;30;01A;0;040-030-01A;SAL. ACCESO - RP 42;PAVIMENTADO;RP_40;41;6;7706.14
40;40;01A;0;040-040-01A;RP 42 - RP 48;PAVIMENTADO;RP_40;41;6;2145.54
40;50;01A;0;040-050-01A;RP 48 - Limite partido;PAVIMENTADO;RP_40;41;6;12103.01
40;50;02A;0;040-050-02A;Limite partido - Enlace 41 47 40 COLECTORA;PAVIMENTADO;RP_40;75;6;15210.82
40;50;02B;0;040-050-02B;NODO COLECTORA;PAVIMENTADO;RP_40;75;6;189.92
40;50;03A;0;040-050-03A;NODO COLECTORA -ENTRADA Navarro;PAVIMENTADO;RP_40;75;6;1313.6
40;50;04A;0;040-050-04A;ENT. NAVARRO-SAL. NAVARRO;PAVIMENTADO;RP_40;75;6;2915.4
40;60;01A;0;040-060-01A;SAL. NAVARRO - NODO RP 41/40;PAVIMENTADO;RP_40;75;6;2522.61
40;60;01B;6;040-060-01B;NODO RP 41/40 - RP 41;PAVIMENTADO;RP_40;75;6;176.09
40;70;00A;6;040-070-00A;RP 41 - NODO SAL.RP 41/40;DE TIERRA;RP_40;75;6;127.67
40;70;01A;0;040-070-01A;NODO SAL.RP 41/40 - Limite partido;DE TIERRA;RP_40;75;6;31777.46
40;70;02A;0;040-070-02A;Limite partido - Pedernales;DE TIERRA;RP_40;109;6;13571.4
40;70;03A;0;040-070-03A;Pedernales - RP 30;PAVIMENTADO;RP_40;109;6;4763.92
40;80;01A;0;040-080-01A;RP 30 - de la Riestra;PAVIMENTADO;RP_40;109;6;7028.91
40;80;02A;0;040-080-02A;de la Riestra - urbano;PAVIMENTADO;RP_40;109;6;1442.38
40;80;03A;0;040-080-03A;de la Riestra - RP 51;DE TIERRA;RP_40;109;6;31971.97
40;90;01A;0;040-090-01A;RP 46 - Limite partido;DE TIERRA;RP_40;109;6;27397.33
41;60;02A;0;041-060-02A;Limite de partido - ENT NODO RN 205;PAVIMENTADO;RP_41;62;6;21323.24
41;60;02B;10;041-060-02B;ENT NODO RN 205 - RN 205;PAVIMENTADO;RP_41;62;6;1061.98
41;70;00A;10;041-070-00A;RN 205 - SAL NODO RN 205;PAVIMENTADO;RP_41;62;6;996.05
41;70;01A;0;041-070-01A;SAL NODO RN 205 - Limite de partido;PAVIMENTADO;RP_41;62;6;18988.28
41;70;02A;0;041-070-02A;Limite de partido - ENT NODO RP 40;PAVIMENTADO;RP_41;75;6;6482.42
41;70;02B;6;041-070-02B;ENT NODO RP 40 - RP 40;PAVIMENTADO;RP_41;75;6;286.93
41;80;00A;6;041-080-00A;RP 40 - SAL NODO RP 40;PAVIMENTADO;RP_41;75;6;301.36
41;80;01A;0;041-080-01A;SAL NODO RP 40 - RP 44;PAVIMENTADO;RP_41;75;6;4073.44
41;90;01A;0;041-090-01A;RP 44 - Enlace 41-47-40 COLECTORA;PAVIMENTADO;RP_41;75;6;980.17
41;90;01B;12;041-090-01B;NODO COLECTORA;PAVIMENTADO;RP_41;75;6;130.64
41;90;02A;0;041-090-02A;COLECTORA - Limite de Zona;PAVIMENTADO;RP_41;75;6;13700.24
42;10;01A;0;042-010-01A;RP 40 - La Choza;DE TIERRA;RP_42;41;6;21790.08
42;10;02A;0;042-010-02A;La Choza - Limite de partido;PAVIMENTADO;RP_42;41;6;2248.73
43;10;01A;0;043-010-01A;RP 44 - Limite partido;DE TIERRA;RP_43;75;6;15656.99
44;10;01A;0;044-010-01A;RP 41 - RP 43;DE TIERRA;RP_44;75;6;12421.85
44;20;01A;0;044-020-01A;RP 43 - Limite partido;DE TIERRA;RP_44;75;6;22066.55
46;10;00A;5;046-010-00A;RP 51 - SAL NODO RP 51;PAVIMENTADO;RP_46;109;6;200.15
46;10;01A;0;046-010-01A;SAL NODO RP 51 - Acc. Sur 25 de Mayo;PAVIMENTADO;RP_46;109;6;5236.65
46;10;01B;9;046-010-01B;NODO  Acc. Sur 25 de Mayo;PAVIMENTADO;RP_46;109;6;479.3
46;10;02A;0;046-010-02A;Acc. Sur 25 de Mayo - Acc. Norte 25 de Mayo;PAVIMENTADO;RP_46;109;6;4576.55
46;10;02B;8;046-010-02B;NODO  Acc. Norte 25 de Mayo;PAVIMENTADO;RP_46;109;6;121.54
46;10;03A;0;046-010-03A;Acc. Norte 25 de Mayo - RP 40;PAVIMENTADO;RP_46;109;6;2876.03
46;20;01A;0;046-020-01A;RP 40 - Limite partido;PAVIMENTADO;RP_46;109;6;20354.44
47;10;01A;0;047-010-01A;RP 40 - Navarro;PAVIMENTADO;RP_47;75;6;1037.58
47;10;02A;0;047-010-02A;Navarro - Enlace 41 47 40;PAVIMENTADO;RP_47;75;6;1981.33
47;10;02B;6;047-010-02B;NODO Enlace 41 47 40;PAVIMENTADO;RP_47;75;6;157.37
47;10;03A;0;047-010-03A;Enlace 41-47-40 - Limite Navarro;PAVIMENTADO;RP_47;75;6;14487.89
47;10;04A;0;047-010-04A;Limite Navarro - Limite Navarro;PAVIMENTADO;RP_47;41;6;3731.31
47;10;05A;0;047-010-05A;Limite Las Heras - Limite MECEDES;PAVIMENTADO;RP_47;75;6;2949.55
48;10;01A;0;048-010-01A;Cno Sec 041-01 - Limite partido;DE TIERRA;RP_48;41;6;11546.66
48;10;02A;0;048-010-02A;Limite partido - Lobos;DE TIERRA;RP_48;62;6;23523.08
51;110;03A;0;051-110-03A;Limite partido - RP 40;PAVIMENTADO;RP_51;109;6;22453.04
51;120;01A;0;051-120-01A;RP 40 - Acc. 25 de Mayo;PAVIMENTADO;RP_51;109;6;2665.04
51;120;01B;7;051-120-01B;NODO Acc. 25 de Mayo;PAVIMENTADO;RP_51;109;6;156.11
51;120;02A;0;051-120-02A;Acc. 25 de Mayo- RP 46;PAVIMENTADO;RP_51;109;6;4586.62
51;120;02B;5;051-120-02B;ENTRADA NODO RP 46 - RP 46;PAVIMENTADO;RP_51;109;6;182.61
51;130;00A;5;051-130-00A;RP 46 - SAL NODO RP 46;PAVIMENTADO;RP_51;109;6;199.12
51;130;01A;0;051-130-01A;RP 46 - Limite partido;PAVIMENTADO;RP_51;109;6;11501.63
51;130;02A;0;051-130-02A;Limite partido - ENT NODO RN 205;PAVIMENTADO;RP_51;93;6;20040.53
51;130;02B;4;051-130-02B;ENT NODO RN 205 - RN 205;PAVIMENTADO;RP_51;93;6;235.21
