Enviado,Fecha,Tarea,Ruta,Prog. Inicial,Prog. Final,Maquinaria 1,ID1,N°ID1,Maquinaria 2,ID2,N°ID2,Maquinaria 3,ID3,N°ID3,Maquinaria 4,ID4,N°ID4,Maquinaria 5,ID5,N°ID5,Observaciones,Imágenes previas,Imágenes posteriores,km,Combustible (l),Mezcla asfáltica (tn)
si,6/3/2025,MANTENIMIENTO DE PAVIMENTOS,RP51,"318,80","319,00",MINI CARGADORA,O.I.,21202,CAMIÓN,R.O.,40990,CAMIONETA,R.O.,37073,CAMIONETA,R.O.,44808,,,,La fecha registrada en las fotográficas del programa GPS Map Camera no es coincidente con la fecha real de la captura (tareas del 6/3/25),,,"0,20",,
si,7/3/2025,MANTENIMIENTO DE PAVIMENTOS,RP51,"318,80","319,00",MINI CARGADORA,O.I.,21202,CAMIÓN,R.O.,40990,CAMIONETA,R.O.,44808,,,,,,,Segunda jornada para completar la tarea informada con fecha 6/3/25. La fecha registrada en las fotográficas del programa GPS Map Camera no es coincidente con la fecha real de la captura (tareas del 6 y 7/03/25). Las fotografías previas a la realización de la tarea fueron tomadas desde el programa propio del celular.,,,"0,20",,
si,10/3/2025,MANTENIMIENTO DE PAVIMENTOS,RP91,"32,00","32,00",MINI CARGADORA,O.I.,21202,CAMIÓN,R.O.,41020,CAMIONETA,R.O.,44808,,,,,,,"Caída de árboles por inclemencias climáticas. Corte y limpieza de árboles y ramas caídas.",,,"0,00",,
si,11/3/2025,,RP30,"285,30","285,50",CAMIÓN,R.O.,41020,RETROEXCAVADORA,O.I.,2084,CAMIONETA,R.O.,41890,,,,,,,Tarea ejecutada: Movimiento de suelo para construcción de dársena de acceso.,,,"0,20",,
si,11/3/2025,SEÑALIZACIÓN Y DEMARCACIÓN (Horizontal y Vertical),RP30,"263,50","263,80",CAMIONETA,R.O.,26395,,,,,,,,,,,,,"Colocación de señalización en EP15 (Las Flores) y en curva (límite de Zona VI/Arroyo El Gualicho, Las Flores)",,,"0,30",,
si,12/3/2025,SEÑALIZACIÓN Y DEMARCACIÓN (Horizontal y Vertical),RP30,"263,50","263,80",CAMIONETA,R.O.,26395,,,,,,,,,,,,,"Colocación de señalización en zona de la EP15 (Escuela en paraje ""El Gualicho"", Las Flores). No se registraron imágenes fotográficas.",,,"0,30",,
si,12/3/2025,CORTE DE PASTO,093-08,"1,10","4,20",TRACTOR,O.I.,21806,DESMALEZADORA,O.I.,21803,,,,,,,,,,No se registran imágenes fotográficas,,,"3,10",,
si,13/3/2025,REPARACIÓN DE ALCANTARILLAS,RP51,"225,00","225,05",CAMIÓN,R.O.,41020,,,,,,,,,,,,,Traslado de caños (carretón OI 22121) desde Moreno a 25 de Mayo para reparación de alcantarilla.,,,"0,05",,
si,17/3/2025,CORTE DE PASTO,RP91,"20,00","52,00",TRACTOR,O.I.,21806,DESMALEZADORA,O.I.,21803,,,,,,,,,,"Tramo de Las Flores hacia Saladillo. No se registran imágenes fotográficas.",,,"32,00",,
si,18/3/2025,REPARACIÓN DE ALCANTARILLAS,RP51,"225,00","225,05",RETROEXCAVADORA,O.I.,2084,MOTONIVELADORA,O.I.,22108,CAMIÓN,R.O.,40990,CAMIONETA,R.O.,36895,CAMIONETA,R.O.,51423,"Las imágenes fueron enviadas oportunamente en otro soporte. Las tareas implicaron la apertura de la traza, colocación de caños de chapa nuevos, rellenado con material de suelos de la obra y colocación de mezcla asfáltica. Para la actividad se recurrió al uso de Pala Mecánica proveniente de Chivilcoy.",,,"0,05",,
si,18/3/2025,CORTE DE PASTO,RP91,"0,00","20,00",TRACTOR,O.I.,21806,DESMALEZADORA,O.I.,21803,,,,,,,,,,"Continuación del tramo de Las Flores hacia Saladillo. No se registran imágenes fotográficas.",,,"20,00",,
si,19/3/2025,REPARACIÓN DE ALCANTARILLAS,RP51,"225,00","225,05",RETROEXCAVADORA,O.I.,2084,MOTONIVELADORA,O.I.,22108,CAMIONETA,R.O.,36895,,,,,,,Conituación de las tareas iniciadas el 18/03/2025 para la reparación y mantenimiento de alcantarilla en zona de Laguna de Todos Los Santos.,,,"0,05",,
si,19/3/2025,SEÑALIZACIÓN Y DEMARCACIÓN (Horizontal y Vertical),RP51,"225,00","226,00",CAMIONETA,R.O.,26395,,,,,,,,,,,,,"Colocación de ""chevrones"". No se registran imágenes fotográficas.",,,"1,00",,
si,19/3/2025,CORTE DE PASTO,RP91,"20,00","52,00",TRACTOR,O.I.,21806,DESMALEZADORA,O.I.,21803,,,,,,,,,,"Tramo de Saladillo hacia Las Flores. No se registran imágenes fotográficas.",,,"32,00",,
si,19/3/2025,,RP51,"225,00","225,05",,,,,,,,,,,,,,,,Culminación de las tareas iniciadas el 17 y 18/03/2025 para la reparación y mantenimiento de alcantarilla en zona de Laguna de Todos Los Santos.,carga repetida en formulario!!!,,"0,05",,
si,20/3/2025,REPARACIÓN DE ALCANTARILLAS,RP51,"225,00","225,05",CAMIÓN,R.O.,40990,,,,,,,,,,,,,Traslado de Retroexcavadora (carretón OI 22121) desde 25 de Mayo a Saladillo luego de obra de reparación de alcantarilla Lag. de Todos Los Santos.,,,"0,05",,
si,21/3/2025,CORTE DE PASTO,RP91,"0,00","20,00",TRACTOR,O.I.,21806,DESMALEZADORA,O.I.,21803,,,,,,,,,,Conituación de corte de pasto en banquina RP91 Saladillo - Las Flores. No se registran imágenes fotográficas.,,,"20,00",,
si,25/3/2025,MANTENIMIENTO DE PAVIMENTOS,RP51,"224,00","227,00",CAMIÓN,R.O.,41020,MINI CARGADORA,O.I.,21202,CAMIONETA,R.O.,44808,,,,,,,Bacheo de traza en sector del pavimento en cercanías de alcantarilla reparada en Lag. de Todos Los Santos.,,,"3,00",,
si,25/3/2025,SEÑALIZACIÓN Y DEMARCACIÓN (Horizontal y Vertical),RP51,"309,00","310,00",CAMIONETA,R.O.,26395,,,,,,,,,,,,,"Colocación de ""chevrones"" en RP51 ca. ""Estac. Micheo"".",,,"1,00",,
si,26/3/2025,MANTENIMIENTO DE PAVIMENTOS,RP30,"263,20","287,70",CAMIÓN,R.O.,41020,MINI CARGADORA,O.I.,21202,CAMIONETA,R.O.,36895,,,,,,,Bacheo en varios puntos del pavimento en el tramo de Las Flores al límite de Zona.,,,"24,50",,
si,27/3/2025,MANTENIMIENTO DE PAVIMENTOS,093-02,"0,00","5,00",MINI CARGADORA,O.I.,21202,CAMIÓN,R.O.,41020,CAMIONETA,R.O.,31556,,,,,,,"Bacheo en acceso pavimentado a Cazón (Saladillo) desde RN205 hasta zona urbana de la localidad. No se registran imágenes.",,,"5,00",,
