VEHÍCULOS Y MAQUINARIAS CON REGISTRO OFICIAL (R. O.) Y ORDEN INTERNA (O. I.),,,,,,,,,,,,,,,,,,ID REPUESTOS,,,,,,,,
,,,,,,,,,,,,,FECHA DE ÚLTIMO SERVICIO / MANTENIMIENTO,,,,,FILTROS,,,TRANSMISIÓN,,,,,
Tipo,Registro,N°,Marca,Modelo,Año,Características,Combustible,Dominio,Estado,Destino,Usuarios,Imágenes,Cambio de Aceite,Cambio de Filtros,Cambio de Neumáticos,Rotación de Neumáticos,Alineación y Balanceo,ACEITE,G.O. / NAFTA,AIRE,CORREAS,CUBIERTAS,ÓPTICAS,ESCOBILLAS,Columna 18,Columna 15
Tractor,O.I.,21806,Massey Ferguson,4292K,2017,,G.O.,DIZ09,EN USO,Z6 - SALADILLO,,,,,,,,,,,,,,,,
Tractor,O.I.,21715,Massey Ferguson,4292K,2016,,G.O.,DDY87,EN USO,Z6 - SALADILLO,,,,,,,,,,,,,,,,
Tractor,R.O.,9649,Massey Ferguson,MF1615-S,1996,,G.O.,,FUERA DE SERVICIO,Z6 - SALADILLO,,,,,,,,,,,,,,,,
Tractor,O.I.,9667,Massey Ferguson,MF1615-S,1996,,G.O.,,,Z6 - SALADILLO,,,,,,,,,,,,,,,,
Tractor,O.I.,9734,Massey Ferguson,,,,G.O.,,EN USO,Z6 - LOBOS,,,,,,,,,,,,,,,,
Tractor,O.I.,21503,Pauny,,,,G.O.,,,,,21406,,,,,,,,,,,,,,
Tractor,O.I.,9626,,,,,G.O.,,FUERA DE SERVICIO,Z6 - SALADILLO,,,,,,,,,,,,,,,,
Tractor,O.I.,9631,Massey Ferguson,MF1615-S,1996,,G.O.,,EN USO,Z6 - SALADILLO,,,,,,,,,,,,,,,,
Retroexcavadora,O.I.,2084,Volvo,,,,G.O.,,EN USO,Z6 - SALADILLO,,,,,,,,,,,,,,,,
Minicargadora,O.I.,21202,Bobcat,SS650,2012,,G.O.,CIZ77,EN USO,Z6 - SALADILLO,"""ÁLVAREZ, G.""",,,,,,,,,,,,,,,
Desmalezadora,O.I.,21803,,,,,N/A,,,,,,,,,,,,,,,,,,,
Desmalezadora,O.I.,21502,Yomel,1550 BRL,2015,"Cortadora de ""Tres Puntos"" roja",,,EN USO,Z6 - SALADILLO,,,,,,,,,,,,,,,,
Tanque combustible,R.O.,24,,,,Tanque de remolque. Capacidad: 500 litros,,,EN USO,Z6 - SALADILLO,,,,,,,,,,,,,,,,
Motoniveladora,O.I.,8653,Klia,,,,G.O.,,,Z6 - SALADILLO,"""PELLEGRINI, M.""",,,,,,,,,,,,,,,
Motoniveladora,O.I.,22108,Lovol,,,,G.O.,EBZ60,EN USO,Z6 - SALADILLO,"""ALZUGARAY, M."", ""ALZUGARAY, F.""",,,,,,,,,,,,,,,
Motoniveladora,O.I.,2066,Fiat Allis,,,,G.O.,,,,,,,,,,,,,,,,,,,
Retroexcavadora,O.I.,2067,Fiat Allis,,,,G.O.,,,,,,,,,,,,,,,,,,,
Retropala,O.I.,22127,Case,,2019,,G.O.,EBZ63,EN USO,Z6 - SALADILLO,,,,,,,,,,,,,,,,
Remolque,O.I.,22121,Comar,,2019,Carretón de 3 ejes,,AD798IE,EN USO,Z6 - SALADILLO,,,,,,,,,,,,,,,,
Remolque,O.I.,21211,Comar,,2012,Carretón de 3 ejes,,LNX118,EN USO,Z6 - SALADILLO,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Camión,R.O.,18736,Mercedes Benz,1114,1986,Volcador,G.O.,WPJ559,EN USO,Z6 - LOBOS,"""GARCÍA, J.""",,,,,,,,,,,,,,,
Camión,R.O.,18748,Mercedes Benz,1114,1986,Volcador,G.O.,WPJ556,EN USO,Z6 - SALADILLO,,,,,,,,,,,,,,,,
Camión,R.O.,18775,Mercedes Benz,1114,1986,Volcador,G.O.,WPJ544,EN USO,Z6 - SALADILLO,,,,,,,,,,,,,,,,
Camión,R.O.,18785,Mercedes Benz,1114,1986,Volcador,G.O.,WPJ541,EN USO,Z6 - SALADILLO,,,,,,,,,,,,,,,,
Camión,R.O.,18805,Mercedes Benz,1114,1986,Hidrogrúa,G.O.,WPJ550,EN USO,Z6 - SALADILLO,,,,,,,,,,,,,,,,
Camión,R.O.,40990,Ford,1722 Cargo,2012,Volcador,G.O.,LOU570,EN USO,Z6 - SALADILLO,,,,,,,,,,,,,,,,
Camión,R.O.,41020,Ford,1722 Cargo,2012,Volcador,G.O.,LXA291,EN USO,Z6 - SALADILLO,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Furgoneta,O.I.,1721,Peugeot,Partner,2017,Patagónica,G.O.,AB156OR,EN USO,Z6 - SALADILLO,,,,,,,,,,,,,,,,
Furgoneta,R.O.,41890,Citroen,Berlingo,2011,,,JWD825,EN USO,Z6 - SALADILLO,,,,,,,,,,,,,,,,
Furgoneta,R.O.,52501,Peugeot,Partner,2015,Utilitario,G.O.,OPG584,EN USO,Z6 - SALADILLO,,,,,,,,,,,,,,,,
Furgoneta,R.O.,58191,Peugeot,Partner,,Utilitario,G.O.,,EN USO,Z6 - SALADILLO,,,,,,,,,,,,,,,,
Camioneta,O.I.,1211,Citroen,Berlingo,2012,,,LBL152,EN USO,Z6 - LOBOS,,,,,,,,,,,,,,,,
Camioneta,R.O.,19084,Ford,F-100,1986,C/Cúpula,G.O.,URV086,EN USO,Z6 - SALADILLO,,,,,,,,,,,,,,,,
Camioneta,R.O.,26395,Nissan,Pathfinder,2001,Doble Cabina,,BTY831,EN USO,Z6 - SALADILLO,"CHIDICHIMO, ""GOMEZ, M.""",,,,,,,,,,,,,,,
Camioneta,R.O.,29792,Nissan,Pathfinder,2001,Doble Cabina,,DTL166,EN USO,Z6 - SALADILLO,,,,,,,,,,,,,,,,
Camioneta,R.O.,31556,Ford,Ranger,2005,Pick-Up,G.O.,FAQ165,EN USO,Z6 - SALADILLO,,,,,,,,,,,,,,,,
Camioneta,R.O.,36895,Ford,Ranger,2006,Pick-Up,G.O.,FJS659,EN USO,Z6 - SALADILLO,,,,,,,,,,,,,,,,
Camioneta,R.O.,37073,Ford,Ranger,2005,Pick-Up,,EZE309,EN USO,Z6 - SALADILLO,,,,,,,,,,,,,,,,
Camioneta,R.O.,41893,Ford,Ranger,2009,Pick-Up,G.O.,ICZ224,EN USO,Z6 - LOBOS,,,,,,,,,,,,,,,,
Camioneta,O.I.,2918,Ford,Ranger,,Pick-Up,G.O.,IAG449,EN USO,Z6 - SALADILLO,"""VALVERDE, D.""",,,,,,,,,,,,,,,
Camioneta,R.O.,44808,Chevrolet,S10,2011,Pick-Up,,JUQ814,EN USO,Z6 - SALADILLO,,,,,,,,,,,,,,,,
Camioneta,O.I.,1307,Chevrolet,S10,,Pick-Up,G.O.,MUC016,EN USO,Z6 - SALADILLO,,,,,,,,,,,,,,,,
Camioneta,R.O.,51385,Toyota,Hilux,2016,Pick-Up,G.O.,AA801RE,EN USO,Z6 - SALADILLO,,,,,,,,,,,,,,,,
Camioneta,R.O.,51423,Toyota,Hilux,2017,Pick-Up,G.O.,AB333WE,EN USO,Z6 - SALADILLO,,,,,,,,,,,,,,,,
Camioneta,R.O.,51426,Peugeot,Partner,2016,,,POL990,EN USO,Z6 - SALADILLO,,,,,,,,,,,,,,,,
Camioneta,R.O.,41125,Ford,Ranger,,,,,,,,,,,,,,,,,,,,,,
Furgoneta,R.O.,41800,Citroen,Berlingo,,,,,,,,,,,,,,,,,,,,,,
Camioneta,R.O.,43742,Ford,Ranger,,,,,,,,,,,,,,,,,,,,,,
Furgoneta,R.O.,52504,Peugeot,Partner,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
R. O.: Registro Oficial,,,,,,,,,,,,,,,,,,,,,,,,,,
O. I.: Orden Interna,,,,,,,,,,,,,,,,,,,,,,,,,,
