partido,rutas
25 DE MAYO,"46,61,51,30,40"
9 DE JULIO,"70,65,61,50,40"
ADOLFO ALSINA,"60,67,76,65"
ADOLFO GONZALES CHAVES,"75"
ALBERTI,"51"
ALMIRANTE BROWN,"16,210,4"
ARRECIFES,"51,191"
AVELLANEDA,"14,36"
AYACUCHO,"2,30,74,29,60,50"
AZUL,"50,51,60,80"
BAHIA BLANCA,"51,252"
BALCARCE,"77,29,50,227,55"
BARADERO,"38,41"
BENITO JUAREZ,"80,86,74"
BERAZATEGUI,"1,14,36,2,18"
BERISSO,"11,15"
BOLIVAR,"65,86"
BRAGADO,"42,46,70,64"
BRANDSEN,"215,53,6,2,210,58,29"
CAMPANA,"6"
CAPITAN SARMIENTO,"51,38"
CARLOS CASARES,"50"
CARLOS TEJEDOR,"68,70,66"
CARMEN DE ARECO,"42,43,51,31,38"
CASTELLI,"41,11,2"
CAÑUELAS,"16,215,6,205"
CHACABUCO,"191,30,32,42,51"
CHASCOMUS,"2,58,11,20,59"
CHIVILCOY,"30,51,32,44"
COLON,"31,50"
CORONEL DE MARINA L. ROSALES,"252"
CORONEL DORREGO,"72,78"
CORONEL PRINGLES,"51,72,85"
CORONEL SUAREZ,"85,60,76,67"
DAIREAUX,"86,65,66"
DOLORES,"2,60,62,11,63"
ENSENADA,"11,13,15,215"
ESCOBAR,"25,26,9"
ESTEBAN ECHEVERRIA,"4,16,205,58"
EXALTACION DE LA CRUZ,"6,47,39"
EZEIZA,"205,58"
FLORENCIO VARELA,"53,4,36,14,1"
FLORENTINO AMEGHINO,"66"
GENERAL ALVARADO,"11,88,77"
GENERAL ALVEAR,"61,50,51"
GENERAL ARENALES,"65,50,45"
GENERAL BELGRANO,"29,41,61"
GENERAL GUIDO,"2,60,62"
GENERAL LA MADRID,"51,85,86,60,76"
GENERAL LAS HERAS,"6,24,47,42,48,40"
GENERAL LAVALLE,"11,56"
GENERAL MADARIAGA,"11,56,62,74"
GENERAL PAZ,"215,29,58,20"
GENERAL PUEYRREDON,"11,2,88"
GENERAL RODRIGUEZ,"24,7,28,6,47"
GENERAL SAN MARTIN,"4,8"
GENERAL VIAMONTE,"46,65,70,64"
GENERAL VILLEGAS,"66"
GUAMINI,"60,65,85"
HIPOLITO YRIGOYEN,"86"
HURLINGHAM,"4,201"
ITUZAINGO,"7,21"
JOSE C. PAZ,"24,8"
JUNIN,"46,65"
LA COSTA,"11"
LA MATANZA,"17,21,3,4,7"
LA PLATA,"1,11,13,14,215,36,53,6,2"
LANUS,"14"
LAPRIDA,"51,86,75"
LAS FLORES,"30,61,91"
LEANDRO N. ALEM,"50"
LEZAMA,"57,2"
LINCOLN,"70,50,69,64,68"
LOBERIA,"88,227,30,55"
LOBOS,"41,48"
LOMAS DE ZAMORA,"4,205,210,49"
LUJAN,"34,6,47,7,42"
MAGDALENA,"11,36,20,59"
MAIPU,"2,56,62,74"
MALVINAS ARGENTINAS,"23,24,8"
MAR CHIQUITA,"11,2,50,55"
MARCOS PAZ,"6,40"
MERCEDES,"42,47,41"
MERLO,"21,7,40"
MONTE,"215,41,20"
MONTE HERMOSO,"78"
MORENO,"23,24,25,7"
MORON,"17,4,7,21,201"
NAVARRO,"47,43,41,40,30,44"
NECOCHEA,"88,227,30,72,80,85,86"
OLAVARRIA,"51,60"
PEHUAJO,"86,69"
PELLEGRINI,"85"
PERGAMINO,"32,51"
PILA,"29,41,57,60"
PILAR,"25,26,8,28,34,6"
PINAMAR,"11,74"
PRESIDENTE PERON,"16,58,210"
PUAN,"67,76"
PUNTA INDIO,"36,11,20"
QUILMES,"4,49,14,18,36,53"
RAMALLO,"51"
RAUCH,"50,60,30,29"
RIVADAVIA,"66,70"
ROJAS,"30,31,45"
ROQUE PEREZ,"30,20"
SAAVEDRA,"67"
SALADILLO,"91,51"
SALLIQUELO,"85"
SALTO,"32,191,31"
SAN ANDRES DE GILES,"42,41"
SAN ANTONIO DE ARECO,"31,38,41"
SAN CAYETANO,"72,85,75"
SAN FERNANDO,"27,23,24"
SAN ISIDRO,"4,27"
SAN MIGUEL,"23,8,201"
SAN PEDRO,"191"
SAN VICENTE,"6,58,210,16"
SUIPACHA,"42,43"
TANDIL,"80,30,74"
TAPALQUE,"50,51,61"
TIGRE,"26,9,24,23,27"
TORDILLO,"11,56,63"
TORNQUIST,"72,76"
TRENQUE LAUQUEN,"66"
TRES ARROYOS,"72,85,75,73"
TRES DE FEBRERO,"7,201,4,8,AU6"
TRES LOMAS,"85"
VICENTE LOPEZ,"27"
VILLA GESELL,"11"
ZARATE,"31,6"
