NOMEMCLATURA,PARTIDO,PARTIDO_NOMBRE,DENOMINACION,CLASE,TRANSITABIlIDAD,TIPO,LONGITUD_KM_ORIG,LONGITUD_KM_WGS84,N_VERTICES,N_LINEAS,DIFF_PCT,ALERTA
034-01,34,General Alvear,Yerbas - Saladillo,DE TIERRA,TEMPORARIO,CAMINO,17.67,17.6697,8,1,-0.0,
034-01,34,General Alvear,Yerbas - Saladillo,DE TIERRA,TEMPORARIO,CAMINO,19.405,19.4055,13,1,0.0,
034-02,34,General Alvear,Gral Alvear - Mamaguita,DE TIERRA,TEMPORARIO,CAMINO,22.315,22.3146,27,1,-0.0,
034-03,34,General Alvear,J. M. Micheo - RP 51,DE TIERRA,TEMPORARIO,CAMINO,10.525,10.5252,10,1,0.0,
034-04,34,General Alvear,Gral. Alvear - Bolivar,DE TIERRA,TEMPORARIO,CAMINO,35.362,35.3615,18,1,-0.0,
034-05,34,General Alvear,Gral Alvear - Tapalque,DE TIERRA,TEMPORARIO,CAMINO,48.399,47.4733,39,1,-1.9,
034-06,34,General Alvear,Yerbas - Emma,DE TIERRA,TEMPORARIO,CAMINO,18.117,18.1166,10,1,-0.0,
034-07,34,General Alvear,RN 205 - 25 de Mayo,DE TIERRA,TEMPORARIO,CAMINO,11.72,11.7195,9,1,-0.0,
034-08,34,General Alvear,Las Flores - Estrugamou,DE TIERRA,TEMPORARIO,CAMINO,5.388,5.3877,6,1,-0.0,
034-09,34,General Alvear,RN 205 - Del Valle,DE TIERRA,TEMPORARIO,CAMINO,4.543,4.5424,7,1,-0.0,
041-01,41,General Las Heras,,DE TIERRA,TEMPORARIO,CAMINO,11.081,11.0797,10,1,-0.0,
041-01,41,General Las Heras,,PAVIMENTADO,PERMANENTE,CAMINO,3.85,3.8497,4,1,-0.0,
041-02,41,General Las Heras,RP 48 - RN 205,DE TIERRA,TEMPORARIO,CAMINO,15.119,15.1177,17,1,-0.0,
041-03,41,General Las Heras,RP 24 - SEC 041-07,DE TIERRA,TEMPORARIO,CAMINO,16.876,16.8752,12,1,-0.0,
041-04,41,General Las Heras,RP 42 - Plomer,DE TIERRA,TEMPORARIO,CAMINO,5.887,5.8864,6,1,-0.0,
041-05,41,General Las Heras,RP 42 - E. Fyn,DE TIERRA,TEMPORARIO,CAMINO,5.766,5.7651,5,1,-0.0,
041-06,41,General Las Heras,RP 42 - RP 24,DE TIERRA,TEMPORARIO,CAMINO,1.474,1.4738,2,1,-0.0,
041-07,41,General Las Heras,RP 42 - SEC 041-03,DE TIERRA,TEMPORARIO,CAMINO,7.57,7.5695,6,1,-0.0,
041-08,41,General Las Heras,RP 24 - SEC 064-07,DE TIERRA,TEMPORARIO,CAMINO,2.021,2.021,2,1,0.0,
058-00,58,Las Flores,,PAVIMENTADO,PERMANENTE,CAMINO,2.781,2.7806,2,1,-0.0,
058-01,58,Las Flores,Las Flores - Monte,DE TIERRA,TEMPORARIO,CAMINO,28.62,28.6172,24,1,-0.0,
058-02,58,Las Flores,Cnel. Boerr - RN 3,DE TIERRA,TEMPORARIO,CAMINO,6.734,6.7332,4,1,-0.0,
058-03,58,Las Flores,Rosas - Real Audiencia,DE TIERRA,TEMPORARIO,CAMINO,24.994,24.991,18,1,-0.0,
058-04,58,Las Flores,Newton - Real Audiencia,DE TIERRA,TEMPORARIO,CAMINO,13.894,13.8922,16,1,-0.0,
058-05,58,Las Flores,Las Flores - Real Audiencia,DE TIERRA,TEMPORARIO,CAMINO,31.038,31.0342,15,1,-0.0,
058-06,58,Las Flores,RP 30 - RN 3,DE TIERRA,TEMPORARIO,CAMINO,29.879,29.8782,17,1,-0.0,
058-07,58,Las Flores,Prado - RN 3,PAVIMENTADO,PERMANENTE,CAMINO,2.272,2.2721,2,1,0.0,
058-08,58,Las Flores,RP 91 - RP 61,DE TIERRA,TEMPORARIO,CAMINO,12.098,12.0981,4,1,0.0,
058-08,58,Las Flores,RP 91 - Saladillo,DE TIERRA,TEMPORARIO,CAMINO,20.94,20.9398,12,1,-0.0,
058-09,58,Las Flores,Estrugamou - J. Blaquier,DE TIERRA,TEMPORARIO,CAMINO,23.803,23.8033,7,1,0.0,
058-10,58,Las Flores,RP 30 - Saladillo,DE TIERRA,TEMPORARIO,CAMINO,7.873,7.8726,14,1,-0.0,
058-11,58,Las Flores,Estruganou - Saladillo,DE TIERRA,TEMPORARIO,CAMINO,19.902,19.9013,3,1,-0.0,
058-12,58,Las Flores,RN 3 - Dr. D. Harosteguy,DE TIERRA,TEMPORARIO,CAMINO,3.603,3.6029,4,1,-0.0,
062-01,62,Lobos,Lobos - C. Beguerie,DE TIERRA,TEMPORARIO,CAMINO,23.135,23.1331,25,3,-0.0,
062-02,62,Lobos,RN 205 - Salvador Maria,DE TIERRA,TEMPORARIO,CAMINO,13.824,13.8233,5,1,-0.0,
062-02,62,Lobos,Salvador Maria,PAVIMENTADO,PERMANENTE,CAMINO,7.221,7.2206,12,1,-0.0,
062-03,62,Lobos,RN 205 - SEC 062-02,DE TIERRA,TEMPORARIO,CAMINO,6.064,6.0638,6,1,-0.0,
062-04,62,Lobos,RN 205 - J. S. Arevalo,DE TIERRA,TEMPORARIO,CAMINO,12.289,12.2777,11,1,-0.1,
062-05,62,Lobos,RP 41 - SEC 109-07,DE TIERRA,TEMPORARIO,CAMINO,39.728,39.7971,15,1,0.2,
062-06,62,Lobos,Elvira - SEC 075-03,DE TIERRA,TEMPORARIO,CAMINO,2.402,2.4024,4,1,0.0,
062-07,62,Lobos,A. Carboni - SEC 075-01,DE TIERRA,TEMPORARIO,CAMINO,4.991,4.9904,3,1,-0.0,
062-08,62,Lobos,A. Carboni - RN 205,DE TIERRA,TEMPORARIO,CAMINO,16.872,16.8709,16,1,-0.0,
062-09,62,Lobos,,DE TIERRA,TEMPORARIO,CAMINO,9.169,9.1683,9,1,-0.0,
062-10,62,Lobos,,PAVIMENTADO,PERMANENTE,CAMINO,2.752,2.752,2,1,0.0,
062-10,62,Lobos,,DE TIERRA,TEMPORARIO,CAMINO,3.542,3.5416,4,1,-0.0,
062-11,62,Lobos,,PAVIMENTADO,PERMANENTE,CAMINO,0.748,0.7479,3,1,-0.0,
075-01,75,Navarro,RP 40 - SEC 062-07,DE TIERRA,TEMPORARIO,CAMINO,17.709,16.8574,24,1,-4.8,
075-02,75,Navarro,SEC 075-01 - SEC 075-03,DE TIERRA,TEMPORARIO,CAMINO,13.9,14.0021,9,1,0.7,
075-03,75,Navarro,RP 40 - SEC 062-06,DE TIERRA,TEMPORARIO,CAMINO,8.395,8.3952,7,1,0.0,
075-04,75,Navarro,,DE TIERRA,TEMPORARIO,CAMINO,12.443,12.4429,8,1,-0.0,
075-05,75,Navarro,,DE TIERRA,TEMPORARIO,CAMINO,21.376,21.3769,21,1,0.0,
075-06,75,Navarro,RP40 - SEC 102-01,DE TIERRA,TEMPORARIO,CAMINO,24.879,24.8787,14,1,-0.0,
075-07,75,Navarro,RP 41 - SEC 109-01,DE TIERRA,TEMPORARIO,CAMINO,24.87,24.8691,12,1,-0.0,
075-08,75,Navarro,SEC 075-07 - SEC 071-03,DE TIERRA,TEMPORARIO,CAMINO,5.61,5.6099,4,1,-0.0,
075-09,75,Navarro,,DE TIERRA,TEMPORARIO,CAMINO,2.883,2.8826,4,1,-0.0,
091-01,91,Roque Pérez,Roque Perez - SEC 093-01,DE TIERRA,TEMPORARIO,CAMINO,16.244,16.2834,9,1,0.2,
091-01,91,Roque Pérez,SEC 062-02 - Roque Perez,DE TIERRA,TEMPORARIO,CAMINO,5.335,5.3346,6,1,-0.0,
091-02,91,Roque Pérez,SEC 091-01 - RP 30,DE TIERRA,TEMPORARIO,CAMINO,11.14,11.1398,8,1,-0.0,
091-03,91,Roque Pérez,RP 30 - SEC 091-04,DE TIERRA,TEMPORARIO,CAMINO,16.373,16.3491,11,1,-0.1,
091-03,91,Roque Pérez,SEC 091-04 - SEC 036-05,DE TIERRA,TEMPORARIO,CAMINO,7.496,7.5064,4,1,0.1,
091-04,91,Roque Pérez,RP 20 - RP 30,DE TIERRA,TEMPORARIO,CAMINO,19.574,19.4387,12,1,-0.7,
091-04,91,Roque Pérez,SEC 073-07 - RP 20,DE TIERRA,TEMPORARIO,CAMINO,4.518,4.5173,3,1,-0.0,
091-05,91,Roque Pérez,SEC 091-04 - SEC 091-03,DE TIERRA,TEMPORARIO,CAMINO,11.215,11.2146,4,1,-0.0,
091-06,91,Roque Pérez,RP 30 - SEC 093-14,DE TIERRA,TEMPORARIO,CAMINO,4.746,4.7462,2,1,0.0,
091-07,91,Roque Pérez,RP 30 - SEC 093-03,DE TIERRA,TEMPORARIO,CAMINO,10.811,11.1434,5,1,3.1,
091-08,91,Roque Pérez,RN 205 - SEC 091-01,DE TIERRA,TEMPORARIO,CAMINO,6.736,6.7354,5,1,-0.0,
091-09,91,Roque Pérez,RN 205 - SEC 091-10,DE TIERRA,TEMPORARIO,CAMINO,14.859,14.8585,11,1,-0.0,
091-10,91,Roque Pérez,RP 30 - SEC 109-06,DE TIERRA,TEMPORARIO,CAMINO,11.282,11.2828,7,1,0.0,
091-11,91,Roque Pérez,RN 205 - RP 30,DE TIERRA,TEMPORARIO,CAMINO,12.335,12.3346,16,1,-0.0,
091-14,91,Roque Pérez,,DE TIERRA,TEMPORARIO,CAMINO,5.727,5.7266,13,1,-0.0,
091-??,91,Roque Pérez,SEC 091-04 - SEC 036-05,DE TIERRA,TEMPORARIO,CAMINO,7.625,7.6245,8,1,-0.0,
093-01,93,Saladillo,,DE TIERRA,TEMPORARIO,CAMINO,2.813,2.8827,4,1,2.5,
093-01,93,Saladillo,,DE TIERRA,TEMPORARIO,CAMINO,17.268,17.2687,8,1,0.0,
093-01,93,Saladillo,,DE TIERRA,TEMPORARIO,CAMINO,11.284,11.2842,6,1,0.0,
093-02,93,Saladillo,RN 205 - Cazon,PAVIMENTADO,PERMANENTE,CAMINO,4.678,5.6362,3,1,20.5,REVISAR
093-02,93,Saladillo,RP 91 - SEC 093-07,DE TIERRA,TEMPORARIO,CAMINO,12.278,12.278,11,1,0.0,
093-02,93,Saladillo,Toledo - RP 91,DE TIERRA,TEMPORARIO,CAMINO,12.315,12.3146,10,1,-0.0,
093-02,93,Saladillo,SEC 093-07 - SEC 034-08,DE TIERRA,TEMPORARIO,CAMINO,2.857,2.8568,3,1,-0.0,
093-02,93,Saladillo,Cazon - Toledo,DE TIERRA,TEMPORARIO,CAMINO,9.022,8.8385,15,1,-2.0,
093-03,93,Saladillo,RN 205 - Del Carril,PAVIMENTADO,PERMANENTE,CAMINO,8.183,8.1827,8,1,-0.0,
093-03,93,Saladillo,Del Carril - SEC 091-07,DE TIERRA,TEMPORARIO,CAMINO,12.364,12.3639,10,1,-0.0,
093-04,93,Saladillo,Polvaderas - SEC 093-14,DE TIERRA,TEMPORARIO,CAMINO,30.327,30.327,28,1,0.0,
093-04,93,Saladillo,SEC 093-03 - Polvaderas,DE TIERRA,TEMPORARIO,CAMINO,6.458,6.4575,2,1,-0.0,
093-05,93,Saladillo,SEC 093-13 - Polvaderas,PAVIMENTADO,PERMANENTE,CAMINO,22.416,22.2073,19,1,-0.9,
093-06,93,Saladillo,RP 91 - SEC 034-08,DE TIERRA,TEMPORARIO,CAMINO,12.702,12.6352,15,1,-0.5,
093-07,93,Saladillo,SEC 093-02 - SEC 093-08,DE TIERRA,TEMPORARIO,CAMINO,15.914,15.9142,20,1,0.0,
093-07,93,Saladillo,SEC 093-08 - RN 205,DE TIERRA,TEMPORARIO,CAMINO,26.478,26.0807,20,1,-1.5,
093-08,93,Saladillo,RP 51 - SEC 034-01,DE TIERRA,TEMPORARIO,CAMINO,25.268,25.268,7,1,0.0,
093-08,93,Saladillo,RP 51 - Saladillo,PAVIMENTADO,PERMANENTE,CAMINO,4.212,4.2122,3,1,0.0,
093-09,93,Saladillo,SEC 093-13 - SEC 109-18,DE TIERRA,TEMPORARIO,CAMINO,21.614,21.6144,25,1,0.0,
093-10,93,Saladillo,SEC 109-18 - SEC 109-16,DE TIERRA,TEMPORARIO,CAMINO,3.756,3.7563,5,1,0.0,
093-11,93,Saladillo,SEC 093-09 - Esther,DE TIERRA,TEMPORARIO,CAMINO,1.885,1.8849,2,1,-0.0,
093-12,93,Saladillo,SEC 093-13 - SEC 109-05,DE TIERRA,TEMPORARIO,CAMINO,9.109,9.1093,11,1,0.0,
093-13,93,Saladillo,RP 91 - Saladillo,PAVIMENTADO,PERMANENTE,CAMINO,10.561,10.5613,8,1,0.0,
093-13,93,Saladillo,Saladillo - SEC 109-04,DE TIERRA,TEMPORARIO,CAMINO,20.015,20.0147,30,1,-0.0,
093-13,93,Saladillo,,PAVIMENTADO,PERMANENTE,CAMINO,2.136,2.136,2,1,0.0,
093-14,93,Saladillo,SEC 058-09 - SEC 091-06,SIN ABRIR,TEMPORARIO,CAMINO,3.968,3.9676,2,1,-0.0,
093-14,93,Saladillo,SEC 058-09 - SEC 091-06,DE TIERRA,TEMPORARIO,CAMINO,9.359,9.3591,2,1,0.0,
093-15,93,Saladillo,,PAVIMENTADO,PERMANENTE,CAMINO,6.865,6.8651,6,2,0.0,
109-01,109,Veinticinco de Mayo,RP 61 - SEC 011-01,DE TIERRA,TEMPORARIO,CAMINO,29.751,29.7501,17,1,-0.0,
109-01,109,Veinticinco de Mayo,Valdes - RP 61,DE TIERRA,TEMPORARIO,CAMINO,9.863,9.8627,5,1,-0.0,
109-01,109,Veinticinco de Mayo,25 de Mayo - Valdes,PAVIMENTADO,PERMANENTE,CAMINO,37.268,37.2673,17,1,-0.0,
109-02,109,Veinticinco de Mayo,25 de Mayo - RP 61,DE TIERRA,TEMPORARIO,CAMINO,59.6,59.5993,48,1,-0.0,
109-03,109,Veinticinco de Mayo,SEC 075-05 - RP 40,DE TIERRA,TEMPORARIO,CAMINO,7.996,7.9961,7,1,0.0,
109-03,109,Veinticinco de Mayo,RP 51 - 25 de Mayo,PAVIMENTADO,PERMANENTE,CAMINO,6.976,6.9756,11,1,-0.0,
109-03,109,Veinticinco de Mayo,RP 40 - RP 51,DE TIERRA,TEMPORARIO,CAMINO,33.582,33.5832,36,1,0.0,
109-04,109,Veinticinco de Mayo,RP 51 - SEC 093-13,DE TIERRA,TEMPORARIO,CAMINO,13.744,13.7454,12,1,0.0,
109-05,109,Veinticinco de Mayo,SEC 109-03 - SEC 093-12,DE TIERRA,TEMPORARIO,CAMINO,14.853,14.8536,23,1,0.0,
109-06,109,Veinticinco de Mayo,de la Riestra - SEC 093-10,DE TIERRA,TEMPORARIO,CAMINO,15.294,15.294,10,1,0.0,
109-06,109,Veinticinco de Mayo,SEC 109-09 - RP 40,DE TIERRA,TEMPORARIO,CAMINO,21.407,21.4069,26,1,-0.0,
109-07,109,Veinticinco de Mayo,RP 40 - SEC 062-05,DE TIERRA,TEMPORARIO,CAMINO,6.377,6.3769,6,1,-0.0,
109-08,109,Veinticinco de Mayo,SEC 109-07 - Limite partido,DE TIERRA,TEMPORARIO,CAMINO,8.461,8.4609,10,1,-0.0,
109-09,109,Veinticinco de Mayo,RP 51 - SEC 028-04,DE TIERRA,TEMPORARIO,CAMINO,30.201,30.2015,24,1,0.0,
109-10,109,Veinticinco de Mayo,SEC 109-09 - Gdor Ugarte,DE TIERRA,TEMPORARIO,CAMINO,12.794,12.9073,15,1,0.9,
109-11,109,Veinticinco de Mayo,RP 51 - SEC 002-03,DE TIERRA,TEMPORARIO,CAMINO,5.778,5.7781,2,1,0.0,
109-12,109,Veinticinco de Mayo,RP 46 - SEC 002-03,DE TIERRA,TEMPORARIO,CAMINO,5.07,5.1066,6,1,0.7,
109-13,109,Veinticinco de Mayo,RP 40 - SEC 012-03,DE TIERRA,TEMPORARIO,CAMINO,24.183,24.1822,20,1,-0.0,
109-14,109,Veinticinco de Mayo,Valdes - Morea,DE TIERRA,TEMPORARIO,CAMINO,13.478,13.5634,10,1,0.6,
109-15,109,Veinticinco de Mayo,SEC 109-01 - SEC 034-07,DE TIERRA,TEMPORARIO,CAMINO,23.727,23.7266,13,1,-0.0,
109-16,109,Veinticinco de Mayo,SEC 109-15 - SEC 093-10,DE TIERRA,TEMPORARIO,CAMINO,8.659,8.6591,5,1,0.0,
109-17,109,Veinticinco de Mayo,SEC 109-02 - SEC 109-18,DE TIERRA,TEMPORARIO,CAMINO,12.036,12.036,8,1,0.0,
109-18,109,Veinticinco de Mayo,SEC 093-10 - SEC 093-09,DE TIERRA,TEMPORARIO,CAMINO,6.24,6.2401,5,1,0.0,
109-19,109,Veinticinco de Mayo,SEC 109-01 - SEC 109-21,DE TIERRA,TEMPORARIO,CAMINO,18.994,18.9929,8,1,-0.0,
109-20,109,Veinticinco de Mayo,SEC 077-10 - SEC 109-01,DE TIERRA,TEMPORARIO,CAMINO,15.183,15.3323,6,1,1.0,
