NOMEMCLATURA,PARTIDO,PARTIDO_NOMBRE,DENOMINACION,CLASE,TRANSITABIlIDAD,TIPO,TRAMO_NUM,LON_INI,LAT_INI,LON_FIN,LAT_FIN,LONGITUD_KM_ORIG,LONGITUD_KM_WGS84,N_VERTICES,N_LINEAS,DIFF_PCT,ALERTA
093-01,93.0,Saladillo,Del Carril - SEC 091-01 (Tramo 3),DE TIERRA,TEMPORARIO,CAMINO,,-59.5080343,-35.5079703,-59.4838023,-35.4923274,2.813,2.8322,4,1,0.7,
093-01,93.0,Saladillo,Cazón - Del Carrill (Tramo 2),DE TIERRA,TEMPORARIO,CAMINO,,-59.6737594,-35.580566,-59.5336146,-35.4980484,17.268,17.9359,14,1,3.9,
093-01,93.0,Saladillo,RN 205 - Cazón (Tramo 1),DE TIERRA,TEMPORARIO,CAMINO,,-59.7652989,-35.6140667,-59.6737594,-35.580566,11.284,11.2577,8,1,-0.2,
093-02,93.0,Saladillo,RN 205 - Cazón (Tramo 1),PAVIMENTADO,PERMANENTE,CAMINO,,-59.6968996,-35.5398749,-59.6581381,-35.5746261,4.678,5.7446,5,1,22.8,REVISAR
093-02,93.0,Saladillo,Toledo - RP 91 (Tramo 3),DE TIERRA,TEMPORARIO,CAMINO,,-59.6286262,-35.6445747,-59.6539308,-35.7380485,12.315,12.3227,12,1,0.1,
093-02,93.0,Saladillo,SEC 093-07 - SEC 034-08 (Tramo 4),DE TIERRA,TEMPORARIO,CAMINO,,-59.7327329,-35.8156118,-59.7117951,-35.8335712,2.857,2.8325,3,1,-0.9,
093-02,93.0,Saladillo,Cazon - Toledo (Tramo 2),DE TIERRA,TEMPORARIO,CAMINO,,-59.6610497,-35.5781857,-59.6259653,-35.6342939,9.022,8.9282,16,1,-1.0,
093-02,93.0,Saladillo,RP 91 - SEC 093-07 (Tramo 4),DE TIERRA,TEMPORARIO,CAMINO,,-59.6494949,-35.7416448,-59.7327329,-35.8156118,12.278,11.4716,17,1,-6.6,
093-03,93.0,Saladillo,RN 205 - Del Carril (Tramo 1),PAVIMENTADO,PERMANENTE,CAMINO,,-59.5820936,-35.4624859,-59.5161882,-35.5113414,8.183,8.0737,5,1,-1.3,
093-03,93.0,Saladillo,Del Carril - SEC 091-07 (Tramo 2),DE TIERRA,TEMPORARIO,CAMINO,,-59.5161882,-35.5113414,-59.3688219,-35.6193329,12.364,17.9858,15,1,45.5,REVISAR
093-04,93.0,Saladillo,SEC 093-03 (Del Carril) - Polvaderas (Tramo 1),DE TIERRA,TEMPORARIO,CAMINO,,-59.5114118,-35.5149365,-59.5075203,-35.5908712,6.458,10.4252,8,1,61.4,REVISAR
093-04,93.0,Saladillo,Polvaderas - SEC 093-14 (Tramo 2),DE TIERRA,TEMPORARIO,CAMINO,,-59.5060938,-35.5916327,-59.3075088,-35.7708155,30.327,30.2545,41,1,-0.2,
093-05,93.0,Saladillo,SEC 093-13 - Polvaderas,PAVIMENTADO,PERMANENTE,CAMINO,,-59.7232553,-35.6797097,-59.4393355,-35.5674083,22.416,28.7432,22,1,28.2,REVISAR
093-06,93.0,Saladillo,RP 91 - SEC 034-08 (Gral. Alvear),DE TIERRA,TEMPORARIO,CAMINO,,-59.7516489,-35.6959658,-59.7201304,-35.8035602,12.702,12.588,20,1,-0.9,
093-07,93.0,Saladillo,SEC 093-08 (La Barrancosa) - SEC 093-02 (La Razón) (Tramo 2),DE TIERRA,TEMPORARIO,CAMINO,,-59.8647964,-35.7336941,-59.7327329,-35.8156118,15.914,16.7807,24,1,5.4,
093-07,93.0,Saladillo,RN 205 - SEC 093-08 (Tramo 1),DE TIERRA,TEMPORARIO,CAMINO,,-59.8691409,-35.7380462,-60.0594473,-35.7472794,26.478,25.9648,29,1,-1.9,
093-08,93.0,Saladillo,RP 51 - SEC 034-01 (Gral. Alvear) (Tramo 2),DE TIERRA,TEMPORARIO,CAMINO,,-59.8182694,-35.6675953,-59.939331,-35.8701971,25.268,25.1911,7,1,-0.3,
093-08,93.0,Saladillo,Saladillo - RP 51 (Tramo 1),PAVIMENTADO,PERMANENTE,CAMINO,,-59.7836105,-35.6418612,-59.8148889,-35.6700745,4.23,4.2216,3,1,-0.2,
093-09,93.0,Saladillo,SEC 093-13 - SEC 109-18,DE TIERRA,TEMPORARIO,CAMINO,,-59.8564772,-35.5416888,-60.0325421,-35.6578988,21.614,21.5558,30,1,-0.3,
093-10,93.0,Saladillo,SEC 109-18 - SEC 109-16,DE TIERRA,TEMPORARIO,CAMINO,,-60.0926343,-35.682966,-60.1304085,-35.675333,3.756,3.7927,7,1,1.0,
093-11,93.0,Saladillo,SEC 093-09 - Esther,DE TIERRA,TEMPORARIO,CAMINO,,-59.964959,-35.6249016,-59.953428,-35.6391188,1.885,1.8919,2,1,0.4,
093-12,93.0,Saladillo,SEC 093-13 - SEC 109-05,DE TIERRA,TEMPORARIO,CAMINO,,-59.8329118,-35.5702736,-59.8402676,-35.4943864,9.109,9.0337,15,1,-0.8,
093-13,93.0,Saladillo,RP 91 - Saladillo (Tramo 1),PAVIMENTADO,PERMANENTE,CAMINO,,-59.6927812,-35.7096538,-59.7740181,-35.6419338,10.561,10.7376,27,1,1.7,
093-13,93.0,Saladillo,Saladillo - SEC 109-04 (Veinticinco de Mayo) (Tramo 3),DE TIERRA,TEMPORARIO,CAMINO,,-59.7944891,-35.6131682,-59.9383668,-35.4939297,20.015,19.8769,44,1,-0.7,
093-13,93.0,Saladillo,RN 205 - Saladillo Norte (Tramo 2),PAVIMENTADO,PERMANENTE,CAMINO,,-59.7779046,-35.6253184,-59.7944891,-35.6131682,2.136,2.0186,2,1,-5.5,
093-14,93.0,Saladillo,SEC 058-09 (Las Flores) - Estac. Blaquier (Traza sin abrir) (Tramo 1),SIN ABRIR,TEMPORARIO,CAMINO,,-59.3285839,-35.8024717,-59.3075088,-35.7708155,3.968,4.062,3,1,2.4,
093-14,93.0,Saladillo,Estac. Blaquier - SEC 091-06 (Roque Perez) (Tramo 2),DE TIERRA,TEMPORARIO,CAMINO,,-59.3075088,-35.7708155,-59.2551084,-35.6981761,9.359,9.4209,6,1,0.7,
093-15,93.0,Saladillo,Saladillo: Circuito Av. Circunvalación por Avs. I. Frocham (hasta RN 205) - Ledesma -  - Saavedra (hasta RN 205),PAVIMENTADO,PERMANENTE,CAMINO,,-59.77741907469424,-35.625647384705914,-59.797720494061004,-35.6383611190416,2.28,6.8353,5,1,199.8,REVISAR
