NOMEMCLATURA,PARTIDO,PARTIDO_NOMBRE,DENOMINACION,CLASE,TRANSITABIlIDAD,TIPO,TRAMO_NUM,LON_INI,LAT_INI,LON_FIN,LAT_FIN,LONGITUD_KM_ORIG,LONGITUD_KM_WGS84,N_VERTICES,N_LINEAS,DIFF_PCT,ALERTA
034-01,34,General Alvear,Yerbas - Gral. Alvear (Tramo 1),DE TIERRA,TEMPORARIO,CAMINO,,-60.063151609724194,-36.18001085224566,-60.02270303072407,-36.027309668846684,17.67,17.5276,18,1,-0.8,
034-01,34,General Alvear,Gral. Alvear - Saladillo (Tramo 2),DE TIERRA,TEMPORARIO,CAMINO,,-60.02270303072407,-36.027309668846684,-59.939162748243916,-35.870383194731104,19.405,20.6836,40,1,6.6,
034-02,34,General Alvear,Gral Alvear - Mamaguita,DE TIERRA,TEMPORARIO,CAMINO,,-60.01825012058817,-35.98713329475505,-60.17998666276257,-35.848945724500204,22.315,22.3608,54,1,0.2,
034-03,34,General Alvear,J. M. Micheo - RP 51,DE TIERRA,TEMPORARIO,CAMINO,,-59.9458051,-35.8815236,-59.8661600877127,-35.91098017700846,10.525,10.8382,25,1,3.0,
034-04,34,General Alvear,Gral. Alvear - Bolivar,DE TIERRA,TEMPORARIO,CAMINO,,-60.0866204,-36.0149924,-60.3719838,-35.9529642,35.362,30.9752,49,1,-12.4,REVISAR
034-05,34,General Alvear,Gral Alvear - Tapalque (Tramo 1),DE TIERRA,TEMPORARIO,CAMINO,,-60.1710654,-36.0186107,-60.58684880377521,-36.20401948908106,48.399,46.0589,88,1,-4.8,
034-05,34,General Alvear,"Gral Alvear - Tapalque (Tramo 2, sin abrir)",DE TIERRA,TEMPORARIO,CAMINO,,-60.58684880377521,-36.20401948908106,-60.59924682342068,-36.210060306357946,,1.3409,5,1,,
034-06,34,General Alvear,Yerbas - Emma,DE TIERRA,TEMPORARIO,CAMINO,,-60.0579659,-36.148051,-60.2128699,-36.2086178,18.117,18.3866,27,1,1.5,
034-07,34,General Alvear,RN 205 - 25 de Mayo,DE TIERRA,TEMPORARIO,CAMINO,,-60.14046137933629,-35.81206493074853,-60.18742336357685,-35.72423189195285,11.72,10.8832,19,1,-7.1,
034-08,34,General Alvear,Las Flores - Estrugamou,DE TIERRA,TEMPORARIO,CAMINO,,-59.7117951,-35.8335712,-59.67561,-35.85154,5.388,5.3239,13,1,-1.2,
034-09,34,General Alvear,RN 205 - Del Valle,DE TIERRA,TEMPORARIO,CAMINO,,-60.5540149,-36.0753233,-60.579631493176336,-36.04831295391682,4.543,4.4082,17,1,-3.0,
