NOMEMCLATURA,PARTIDO,PARTIDO_NOMBRE,DENOMINACION,CLASE,TRANSITABIlIDAD,TIPO,LONGITUD_KM_ORIG,LONGITUD_KM_WGS84,N_VERTICES,N_LINEAS,DIFF_PCT,ALERTA
058-00,058,Desconocido,RP 30 - Las Flores (Acceso Las Flores y traza de RP 61),PAVIMENTADO,PERMANENTE,CAMINO,2.781,2.7771,2,1,-0.1,
058-01,058,Desconocido,Las Flores - Monte,DE TIERRA,TEMPORARIO,CAMINO,28.62,28.7509,58,1,0.5,
058-02,058,Desconocido,Cnel. Boerr - RN 3,DE TIERRA,TEMPORARIO,CAMINO,6.734,6.7289,8,1,-0.1,
058-03,058,Desconocido,Rosas - Real Audiencia,DE TIERRA,TEMPORARIO,CAMINO,24.994,24.8082,51,1,-0.7,
058-04,058,Desconocido,Newton - Real Audiencia,DE TIERRA,TEMPORARIO,CAMINO,13.894,13.8485,31,1,-0.3,
058-05 ,058,Desconocido,Las Flores - Real Audiencia,DE TIERRA,TEMPORARIO,CAMINO,31.038,30.7655,56,1,-0.9,
058-06,058,Desconocido,RP 30 - RN 3,DE TIERRA,TEMPORARIO,CAMINO,29.879,30.0662,43,1,0.6,
058-07,058,Desconocido,Prado - RN 3,PAVIMENTADO,PERMANENTE,CAMINO,2.272,2.3237,4,1,2.3,
058-08,058,Desconocido,RP 91 - RP 61,DE TIERRA,TEMPORARIO,CAMINO,12.098,12.0934,4,1,-0.0,
058-08,058,Desconocido,RP 91 - Saladillo,DE TIERRA,TEMPORARIO,CAMINO,20.94,20.8745,25,1,-0.3,
058-09,058,Desconocido,Estrugamou - J. Blaquier,DE TIERRA,TEMPORARIO,CAMINO,23.803,23.8321,16,1,0.1,
058-10,058,Desconocido,RP 30 - Saladillo,DE TIERRA,TEMPORARIO,CAMINO,7.873,8.0301,26,1,2.0,
058-11,058,Desconocido,Estruganou - Saladillo,DE TIERRA,TEMPORARIO,CAMINO,19.902,19.9573,3,1,0.3,
058-12,058,Desconocido,RN 3 - Dr. D. Harosteguy,PAVIMENTADO,TEMPORARIO,CAMINO,3.603,3.6177,11,1,0.4,
