NOMEMCLATURA,PARTIDO,PARTIDO_NOMBRE,DENOMINACION,CLASE,TRANSITABIlIDAD,TIPO,TRAMO_NUM,LON_INI,LAT_INI,LON_FIN,LAT_FIN,LONGITUD_KM_ORIG,LONGITUD_KM_WGS84,N_VERTICES,N_LINEAS,DIFF_PCT,ALERTA
093-01,93.0,Saladillo,Del Carril - SEC 091-01 (Tramo 3),DE TIERRA,TEMPORARIO,CAMINO,,,,,,2.813,2.8322,4,1,0.7,
093-01,93.0,Saladillo,Cazón - Del Carrill (Tramo 2),DE TIERRA,TEMPORARIO,CAMINO,,,,,,17.268,17.9359,14,1,3.9,
093-01,93.0,Saladillo,RN 205 - Cazón (Tramo 1),DE TIERRA,TEMPORARIO,CAMINO,,,,,,11.284,11.2577,8,1,-0.2,
093-02,93.0,Saladillo,RN 205 - Cazón (Tramo 1),PAVIMENTADO,PERMANENTE,CAMINO,,,,,,4.678,5.7446,5,1,22.8,REVISAR
093-02,93.0,Saladillo,Toledo - RP 91 (Tramo 3),DE TIERRA,TEMPORARIO,CAMINO,,,,,,12.315,12.3227,12,1,0.1,
093-02,93.0,Saladillo,SEC 093-07 - SEC 034-08 (Tramo 4),DE TIERRA,TEMPORARIO,CAMINO,,,,,,2.857,2.8325,3,1,-0.9,
093-02,93.0,Saladillo,Cazon - Toledo (Tramo 2),DE TIERRA,TEMPORARIO,CAMINO,,,,,,9.022,8.9282,16,1,-1.0,
093-02,93.0,Saladillo,RP 91 - SEC 093-07 (Tramo 4),DE TIERRA,TEMPORARIO,CAMINO,,,,,,12.278,11.4716,17,1,-6.6,
093-03,93.0,Saladillo,RN 205 - Del Carril (Tramo 1),PAVIMENTADO,PERMANENTE,CAMINO,,,,,,8.183,8.0737,5,1,-1.3,
093-03,93.0,Saladillo,Del Carril - SEC 091-07 (Tramo 2),DE TIERRA,TEMPORARIO,CAMINO,,,,,,12.364,17.9858,15,1,45.5,REVISAR
093-04,93.0,Saladillo,SEC 093-03 (Del Carril) - Polvaderas (Tramo 1),DE TIERRA,TEMPORARIO,CAMINO,,,,,,6.458,10.4252,8,1,61.4,REVISAR
093-04,93.0,Saladillo,Polvaderas - SEC 093-14 (Tramo 2),DE TIERRA,TEMPORARIO,CAMINO,,,,,,30.327,30.2545,41,1,-0.2,
093-05,93.0,Saladillo,SEC 093-13 - Polvaderas,PAVIMENTADO,PERMANENTE,CAMINO,,,,,,22.416,28.7432,22,1,28.2,REVISAR
093-06,93.0,Saladillo,RP 91 - SEC 034-08 (Gral. Alvear),DE TIERRA,TEMPORARIO,CAMINO,,,,,,12.702,12.588,20,1,-0.9,
093-07,93.0,Saladillo,SEC 093-08 (La Barrancosa) - SEC 093-02 (La Razón) (Tramo 2),DE TIERRA,TEMPORARIO,CAMINO,,,,,,15.914,16.7807,24,1,5.4,
093-07,93.0,Saladillo,RN 205 - SEC 093-08 (Tramo 1),DE TIERRA,TEMPORARIO,CAMINO,,,,,,26.478,25.9648,29,1,-1.9,
093-08,93.0,Saladillo,RP 51 - SEC 034-01 (Gral. Alvear) (Tramo 2),DE TIERRA,TEMPORARIO,CAMINO,,,,,,25.268,25.1911,7,1,-0.3,
093-08,93.0,Saladillo,Saladillo - RP 51 (Tramo 1),PAVIMENTADO,PERMANENTE,CAMINO,,,,,,4.23,4.2216,3,1,-0.2,
093-09,93.0,Saladillo,SEC 093-13 - SEC 109-18,DE TIERRA,TEMPORARIO,CAMINO,,,,,,21.614,21.5558,30,1,-0.3,
093-10,93.0,Saladillo,SEC 109-18 - SEC 109-16,DE TIERRA,TEMPORARIO,CAMINO,,,,,,3.756,3.7927,7,1,1.0,
093-11,93.0,Saladillo,SEC 093-09 - Esther,DE TIERRA,TEMPORARIO,CAMINO,,,,,,1.885,1.8919,2,1,0.4,
093-12,93.0,Saladillo,SEC 093-13 - SEC 109-05,DE TIERRA,TEMPORARIO,CAMINO,,,,,,9.109,9.0337,15,1,-0.8,
093-13,93.0,Saladillo,RP 91 - Saladillo (Tramo 1),PAVIMENTADO,PERMANENTE,CAMINO,,,,,,10.561,10.7376,27,1,1.7,
093-13,93.0,Saladillo,Saladillo - SEC 109-04 (Veinticinco de Mayo) (Tramo 3),DE TIERRA,TEMPORARIO,CAMINO,,,,,,20.015,19.8769,44,1,-0.7,
093-13,93.0,Saladillo,RN 205 - Saladillo Norte (Tramo 2),PAVIMENTADO,PERMANENTE,CAMINO,,,,,,2.136,2.0186,2,1,-5.5,
093-14,93.0,Saladillo,SEC 058-09 (Las Flores) - Estac. Blaquier (Traza sin abrir) (Tramo 1),SIN ABRIR,TEMPORARIO,CAMINO,,,,,,3.968,4.062,3,1,2.4,
093-14,93.0,Saladillo,Estac. Blaquier - SEC 091-06 (Roque Perez) (Tramo 2),DE TIERRA,TEMPORARIO,CAMINO,,,,,,9.359,9.4209,6,1,0.7,
093-15,93.0,Saladillo,Saladillo: Circuito Av. Circunvalación por Avs. I. Frocham (hasta RN 205) - Ledesma -  - Saavedra (hasta RN2 05),PAVIMENTADO,PERMANENTE,CAMINO,,,,,,2.28,6.8353,5,1,199.8,REVISAR
